#SeqID	Length	Prediction
NODE_125_length_2287_cov_59.6331_ID_10886	2287	Chromosome
NODE_126_length_2272_cov_165.915_ID_10888	2272	Plasmid
NODE_127_length_2254_cov_31.6335_ID_10890	2254	Plasmid
NODE_128_length_2143_cov_1748.92_ID_10892	2143	Plasmid
NODE_129_length_2096_cov_28.0818_ID_10894	2096	Plasmid
NODE_130_length_2074_cov_38.1907_ID_10896	2074	Chromosome
NODE_131_length_2070_cov_41.3305_ID_10898	2070	Chromosome
NODE_132_length_2003_cov_39.0041_ID_10900	2003	Plasmid
NODE_133_length_1927_cov_34.5849_ID_10902	1927	Chromosome
NODE_134_length_1782_cov_65.4991_ID_10904	1782	Plasmid
NODE_135_length_1764_cov_44.5875_ID_10906	1764	Plasmid
NODE_136_length_1729_cov_107.516_ID_10908	1729	Plasmid
NODE_137_length_1661_cov_59.0654_ID_10910	1661	Chromosome
NODE_138_length_1534_cov_97.1373_ID_10912	1534	Plasmid
NODE_139_length_1513_cov_34.5501_ID_10914	1513	Chromosome
NODE_140_length_1477_cov_43.6646_ID_10916	1477	Plasmid
NODE_141_length_1433_cov_87.447_ID_10918	1433	Chromosome
NODE_142_length_1432_cov_28.2142_ID_10920	1432	Chromosome
NODE_143_length_1377_cov_51.3275_ID_10922	1377	Plasmid
NODE_144_length_1345_cov_64.9713_ID_10924	1345	Plasmid
NODE_145_length_1344_cov_93.7161_ID_10926	1344	Plasmid
NODE_146_length_1306_cov_75.8505_ID_10928	1306	Plasmid
NODE_147_length_1232_cov_63.8165_ID_10930	1232	Chromosome
NODE_148_length_1223_cov_117.491_ID_10932	1223	Plasmid
NODE_149_length_1202_cov_207.148_ID_10934	1202	Plasmid
NODE_150_length_1157_cov_29.1552_ID_10936	1157	Plasmid
NODE_151_length_1062_cov_61.1559_ID_10938	1062	Plasmid
NODE_152_length_1031_cov_77.9078_ID_10940	1031	Plasmid
NODE_153_length_867_cov_136.227_ID_10942	867	Chromosome
NODE_154_length_820_cov_417.983_ID_10944	820	Chromosome
NODE_155_length_760_cov_1215.32_ID_10946	760	Plasmid
NODE_156_length_744_cov_127.074_ID_10948	744	Plasmid
NODE_157_length_718_cov_60.1569_ID_10950	718	Plasmid
NODE_158_length_714_cov_38.6115_ID_10952	714	Chromosome
NODE_159_length_667_cov_509.435_ID_10954	667	Plasmid
NODE_160_length_644_cov_38.8217_ID_10956	644	Chromosome
NODE_161_length_640_cov_211.945_ID_10958	640	Chromosome
NODE_162_length_631_cov_34.75_ID_10960	631	Plasmid
NODE_163_length_608_cov_224.215_ID_10962	608	Plasmid
NODE_164_length_606_cov_90.0163_ID_10964	606	Chromosome
NODE_165_length_580_cov_33.3295_ID_10966	580	Plasmid
NODE_166_length_570_cov_239.346_ID_10968	570	Chromosome
NODE_167_length_566_cov_79.7045_ID_10970	566	Plasmid
NODE_168_length_538_cov_63.8551_ID_10972	538	Plasmid
NODE_169_length_501_cov_30.1076_ID_10974	501	Plasmid
NODE_170_length_481_cov_51.2183_ID_10976	481	Chromosome
NODE_171_length_475_cov_34.119_ID_10978	475	Plasmid
NODE_172_length_475_cov_55.1429_ID_10980	475	Plasmid
NODE_173_length_468_cov_25.1114_ID_10982	468	Plasmid
NODE_174_length_427_cov_1_ID_10984	427	Plasmid
NODE_175_length_410_cov_0.861972_ID_10986	410	Plasmid
NODE_176_length_406_cov_1.06268_ID_10988	406	Plasmid
NODE_177_length_401_cov_1.01445_ID_10990	401	Plasmid
NODE_178_length_397_cov_0.900585_ID_10992	397	Chromosome
NODE_179_length_394_cov_139.737_ID_10994	394	Plasmid
NODE_180_length_391_cov_1.16667_ID_10996	391	Chromosome
NODE_181_length_391_cov_1.01786_ID_10998	391	Chromosome
NODE_182_length_384_cov_1.01824_ID_11000	384	Plasmid
NODE_183_length_382_cov_1.0581_ID_11002	382	Plasmid
NODE_184_length_379_cov_38.8673_ID_11004	379	Chromosome
NODE_185_length_375_cov_1.0375_ID_11006	375	Plasmid
NODE_186_length_375_cov_1.02812_ID_11008	375	Chromosome
NODE_187_length_369_cov_24.2803_ID_11010	369	Plasmid
NODE_188_length_358_cov_0.891089_ID_11012	358	Plasmid
NODE_189_length_356_cov_52.9203_ID_11014	356	Plasmid
NODE_190_length_355_cov_1.04_ID_11016	355	Plasmid
NODE_191_length_350_cov_1.24746_ID_11018	350	Chromosome
NODE_192_length_343_cov_0.878472_ID_11020	343	Plasmid
NODE_193_length_342_cov_28.7735_ID_11022	342	Chromosome
NODE_194_length_338_cov_0.929329_ID_11024	338	Chromosome
NODE_195_length_335_cov_1.11071_ID_11026	335	Chromosome
NODE_196_length_335_cov_1.03214_ID_11028	335	Chromosome
NODE_197_length_324_cov_44.2491_ID_11030	324	Plasmid
NODE_198_length_323_cov_1.01866_ID_11032	323	Chromosome
NODE_199_length_317_cov_1.04962_ID_11034	317	Chromosome
NODE_200_length_317_cov_46.6603_ID_11036	317	Plasmid
NODE_201_length_315_cov_42.5077_ID_11038	315	Plasmid
NODE_202_length_315_cov_41.9577_ID_11040	315	Chromosome
NODE_203_length_314_cov_1.06178_ID_11042	314	Plasmid
NODE_204_length_311_cov_0.867188_ID_11044	311	Chromosome
NODE_205_length_304_cov_34.6627_ID_11046	304	Chromosome
NODE_206_length_302_cov_63.9757_ID_11048	302	Chromosome
NODE_207_length_302_cov_55.8502_ID_11050	302	Chromosome
NODE_208_length_301_cov_44.0894_ID_11052	301	Plasmid
NODE_209_length_301_cov_32.2724_ID_11054	301	Chromosome
NODE_210_length_300_cov_10.5429_ID_11056	300	Plasmid
NODE_211_length_288_cov_42.6524_ID_11058	288	Plasmid
NODE_212_length_279_cov_30.7946_ID_11060	279	Chromosome
NODE_213_length_273_cov_27.8303_ID_11062	273	Chromosome
NODE_214_length_273_cov_28.5046_ID_11064	273	Chromosome
NODE_215_length_266_cov_39.5829_ID_11066	266	Plasmid
NODE_216_length_258_cov_58.4483_ID_11068	258	Chromosome
NODE_217_length_257_cov_59.5248_ID_11070	257	Plasmid
NODE_218_length_255_cov_95.375_ID_11072	255	Chromosome
NODE_219_length_255_cov_31.27_ID_11074	255	Chromosome
NODE_220_length_254_cov_97.5477_ID_11076	254	Plasmid
NODE_221_length_253_cov_46.8182_ID_11078	253	Plasmid
NODE_222_length_253_cov_33.3434_ID_11080	253	Plasmid
NODE_223_length_246_cov_35.6702_ID_11082	246	Chromosome
NODE_224_length_241_cov_49.1398_ID_11084	241	Plasmid
NODE_225_length_240_cov_37.9189_ID_11086	240	Plasmid
NODE_226_length_236_cov_126.365_ID_11088	236	Plasmid
NODE_227_length_233_cov_29.1629_ID_11090	233	Plasmid
NODE_228_length_232_cov_68.7175_ID_11092	232	Plasmid
NODE_229_length_202_cov_110.02_ID_11094	202	Plasmid
NODE_230_length_193_cov_41.4275_ID_11096	193	Chromosome
NODE_231_length_178_cov_13.2033_ID_11098	178	Plasmid
NODE_232_length_170_cov_41.6261_ID_11100	170	Chromosome
NODE_233_length_167_cov_22.8214_ID_11102	167	Plasmid
NODE_234_length_163_cov_23.463_ID_11104	163	Plasmid
NODE_235_length_162_cov_27.2523_ID_11106	162	Chromosome
NODE_236_length_160_cov_118.124_ID_11108	160	Plasmid
NODE_237_length_160_cov_49.8857_ID_11110	160	Chromosome
NODE_238_length_156_cov_62.0693_ID_11112	156	Plasmid
NODE_239_length_154_cov_52.3939_ID_11114	154	Plasmid
NODE_240_length_151_cov_21.5312_ID_11116	151	Chromosome
NODE_241_length_151_cov_91.0312_ID_11118	151	Plasmid
NODE_242_length_150_cov_38.8737_ID_11120	150	Chromosome
NODE_243_length_147_cov_85.1739_ID_11122	147	Chromosome
NODE_244_length_145_cov_44.3556_ID_11124	145	Chromosome
NODE_245_length_144_cov_25.1461_ID_11126	144	Plasmid
NODE_246_length_143_cov_32.6364_ID_11128	143	Plasmid
NODE_247_length_142_cov_28.5057_ID_11130	142	Chromosome
NODE_248_length_138_cov_45.4337_ID_11132	138	Plasmid
NODE_249_length_138_cov_78.1325_ID_11134	138	Chromosome
NODE_250_length_136_cov_25.679_ID_11136	136	Plasmid
NODE_251_length_135_cov_30.45_ID_11138	135	Plasmid
NODE_252_length_134_cov_83.1392_ID_11140	134	Chromosome
NODE_253_length_132_cov_89.4286_ID_11142	132	Chromosome
NODE_254_length_132_cov_32.6104_ID_11144	132	Chromosome
NODE_255_length_131_cov_103.684_ID_11146	131	Plasmid
NODE_256_length_130_cov_146.853_ID_11148	130	Chromosome
NODE_257_length_127_cov_244.25_ID_11150	127	Plasmid
NODE_258_length_126_cov_10.1549_ID_11152	126	Chromosome
NODE_259_length_123_cov_43.2353_ID_11154	123	Plasmid
NODE_260_length_122_cov_68.3731_ID_11156	122	Plasmid
NODE_261_length_121_cov_27.7576_ID_11158	121	Plasmid
NODE_262_length_119_cov_175.469_ID_11160	119	Chromosome
NODE_263_length_118_cov_180.016_ID_11162	118	Plasmid
NODE_264_length_118_cov_86.6825_ID_11164	118	Plasmid
NODE_265_length_115_cov_71.6333_ID_11166	115	Chromosome
NODE_266_length_114_cov_80.678_ID_11168	114	Plasmid
NODE_267_length_112_cov_29.5439_ID_11170	112	Plasmid
NODE_268_length_111_cov_41.3929_ID_11172	111	Plasmid
NODE_269_length_111_cov_181.661_ID_11174	111	Plasmid
NODE_270_length_111_cov_76.0893_ID_11176	111	Plasmid
NODE_271_length_111_cov_10.1964_ID_11178	111	Plasmid
NODE_272_length_110_cov_46.7636_ID_11180	110	Chromosome
NODE_273_length_110_cov_24.8_ID_11182	110	Chromosome
NODE_274_length_110_cov_30.9455_ID_11184	110	Plasmid
NODE_275_length_110_cov_78.1273_ID_11186	110	Chromosome
NODE_276_length_109_cov_41.4259_ID_11188	109	Plasmid
NODE_277_length_108_cov_45.4717_ID_11190	108	Chromosome
NODE_278_length_107_cov_26.5385_ID_11192	107	Plasmid
NODE_279_length_107_cov_40.3269_ID_11194	107	Chromosome
NODE_280_length_106_cov_33.9804_ID_11196	106	Plasmid
NODE_281_length_105_cov_49.52_ID_11198	105	Chromosome
NODE_282_length_104_cov_54.0408_ID_11200	104	Chromosome
NODE_283_length_103_cov_49.4375_ID_11202	103	Plasmid
NODE_284_length_102_cov_31.0213_ID_11204	102	Plasmid
NODE_285_length_100_cov_92.6889_ID_11206	100	Chromosome
NODE_286_length_99_cov_74.6818_ID_11208	99	Plasmid
NODE_287_length_98_cov_31.7907_ID_11210	98	Plasmid
NODE_288_length_97_cov_38.0476_ID_11212	97	Plasmid
NODE_289_length_97_cov_90.381_ID_11214	97	Plasmid
NODE_290_length_96_cov_99.122_ID_11216	96	Plasmid
NODE_291_length_94_cov_73.9487_ID_11218	94	Chromosome
NODE_292_length_90_cov_58.8857_ID_11220	90	Chromosome
NODE_293_length_90_cov_129.6_ID_11222	90	Chromosome
NODE_294_length_88_cov_18.9394_ID_11224	88	Chromosome
NODE_295_length_87_cov_36.1562_ID_11226	87	Plasmid
NODE_296_length_87_cov_128.344_ID_11228	87	Chromosome
NODE_297_length_86_cov_54.6774_ID_11230	86	Plasmid
NODE_298_length_86_cov_83.2903_ID_11232	86	Chromosome
NODE_299_length_85_cov_198.733_ID_11234	85	Chromosome
NODE_300_length_81_cov_78.5385_ID_11236	81	Plasmid
NODE_301_length_79_cov_70.125_ID_11238	79	Chromosome
NODE_302_length_79_cov_87.6667_ID_11240	79	Plasmid
NODE_303_length_78_cov_156.522_ID_11242	78	Plasmid
NODE_304_length_77_cov_43.5_ID_11244	77	Plasmid
NODE_305_length_77_cov_35.1364_ID_11246	77	Chromosome
NODE_306_length_76_cov_46.381_ID_11248	76	Chromosome
NODE_307_length_76_cov_112.524_ID_11250	76	Chromosome
NODE_308_length_76_cov_252.286_ID_11252	76	Chromosome
NODE_309_length_74_cov_35.8947_ID_11254	74	Plasmid
NODE_310_length_73_cov_122.833_ID_11256	73	Chromosome
NODE_311_length_71_cov_69.8125_ID_11258	71	Chromosome
NODE_312_length_70_cov_190_ID_11260	70	Chromosome
NODE_313_length_70_cov_56.2_ID_11262	70	Plasmid
NODE_314_length_69_cov_37_ID_11264	69	Chromosome
NODE_315_length_68_cov_207.615_ID_11266	68	Plasmid
NODE_316_length_67_cov_108.917_ID_11268	67	Plasmid
NODE_317_length_65_cov_205.4_ID_11270	65	Plasmid
NODE_318_length_64_cov_63.6667_ID_11272	64	Plasmid
NODE_319_length_63_cov_30.75_ID_11274	63	Chromosome
NODE_320_length_63_cov_31.875_ID_11276	63	Chromosome
NODE_321_length_63_cov_108.375_ID_11278	63	Chromosome
NODE_322_length_63_cov_96.625_ID_11280	63	Plasmid
NODE_323_length_62_cov_288.714_ID_11282	62	Plasmid
NODE_324_length_61_cov_121.833_ID_11284	61	Chromosome
NODE_325_length_60_cov_69_ID_11286	60	Plasmid
NODE_326_length_60_cov_232.8_ID_11288	60	Chromosome
NODE_327_length_59_cov_18.5_ID_11290	59	Plasmid
NODE_328_length_59_cov_82.5_ID_11292	59	Plasmid
NODE_329_length_59_cov_209.5_ID_11294	59	Plasmid
NODE_330_length_58_cov_96_ID_11296	58	Plasmid
NODE_331_length_58_cov_65.6667_ID_11298	58	Plasmid
NODE_332_length_57_cov_72.5_ID_11300	57	Chromosome
NODE_333_length_56_cov_43_ID_11302	56	Chromosome
NODE_334_length_56_cov_93_ID_11304	56	Chromosome
NODE_335_length_56_cov_2299_ID_11306	56	Plasmid
